Submission ID,age,cups_per_day,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,flavor_preference,How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,expertise,Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?",overall_favorite,Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
pLP2rP,>65 years old,2,At home,True,False,False,False,False,French press,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,Half and half,False,False,True,False,False,False,False,False,False,Raw Sugar (Turbinado),False,False,False,False,False,False,False,True,,,,,,,,,Chocolatey,Medium,Dark,Full caffeine,6.0,3.0,5.0,1.0,"Sour, sweet potato",3.0,3.0,3.0,Nutty,4.0,3.0,3.0,,2.0,5.0,2.0,,Coffee C,Coffee D,Coffee C,,$20-$40,"I need the ritual, It tastes good",True,False,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Female,,Master's degree,White/Caucasian,,Retired,,Democrat
BGbWMA,25-34 years old,2,"At home, At the office",True,True,False,False,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer",True,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Floral,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,5.0,"Raspberry, Rye Bread",3.0,2.0,3.0,"Woodsmoke, Chocolate, Pecan",4.0,3.0,2.0,"Paper, Dried Herbs, Red Wine",2.0,4.0,4.0,"Blueberry, Apricot ",Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,No,$10-$15,$6-$8,Yes,$300-$500,No,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
GrodaO,35-44 years old,2,At home,True,False,False,False,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,"Caramel, changes big time when cool. Preference changed wildly",3.0,3.0,2.0,"Christmas morning, warm, robust",4.0,2.0,3.0,"Drying of the mouth, roasty, diner coffee, Hawaii. Huge dislike to like",2.0,3.0,4.0,"Natural process,",Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual, I need the caffeine",True,True,True,False,False,,Yes,Yes,$4-$6,$4-$6,Yes,"More than $1,000",Yes,Male,,,,,,,
oAVjDN,35-44 years old,4,"At home, At the office",True,True,False,False,False,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",True,False,False,False,True,False,False,False,False,False,,,,,,,,,,Pourover,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,3.0,4.0,2.0,"Hints of cherries, very acidic
",2.0,1.0,4.0,"Darker roast, presence of chocolate. And vanilla. 
Great as an everyday coffee.",4.0,1.0,3.0,"Black roast, hints of fruits. Lacking the chocolate and vanilla I normally expect.",2.0,3.0,4.0,Hints of acidity without pepper and cherry without sourness.,Coffee B,Coffee D,Coffee B,I primarily work from home,>$100,"I need the caffeine, It tastes good",True,True,False,False,False,,Yes,Yes,$8-$10,$10-$15,No,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
24x9Zj,35-44 years old,1,At home,True,False,False,False,False,Other,False,False,False,False,False,False,False,False,False,True,Aeropress,,,,,,,,,Other,Aeropress,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Somewhat strong,Medium,Full caffeine,2.0,3.0,4.0,4.0,,4.0,2.0,2.0,Chocolate,2.0,1.0,1.0,"Flat, nothing",2.0,5.0,3.0,Fruity funk,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
6dQEGk,45-54 years old,2,At home,True,False,False,False,False,Espresso,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Bright,Very strong,Medium,Full caffeine,7.0,1.0,4.0,3.0,,3.0,4.0,3.0,,3.0,4.0,4.0,,2.0,3.0,3.0,,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"I need the ritual, It tastes good, I need the caffeine",True,True,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Democrat
OABNQk,25-34 years old,1,At home,True,False,False,False,False,"Pour over, Coffee extract (e.g. Cometeer)",True,False,False,False,False,False,False,False,True,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Medium,Light,Full caffeine,7.0,1.0,5.0,4.0,"Bright, light, fruity, red berries",4.0,3.0,2.0,"Dark, chocolate, dirt, unbalanced, light body, smoky",4.0,3.0,1.0,"Dark, burnt, bacon, semi-hollow",1.0,4.0,5.0,"Funky, round, full body, fruity, balanced",Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,It tastes good,True,False,False,False,False,,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,,Democrat
9d6NaY,55-64 years old,3,"At home, At the office, At a cafe",True,True,False,True,False,"Pour over, Espresso, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",True,False,True,True,False,False,False,True,False,False,,,,,,,,,,Cortado,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bold,Very strong,Medium,Full caffeine,8.0,2.0,4.0,2.0,"Toasty at first, after cooled mapley ",3.0,3.0,1.0,"Flat tasting, finished muddy as it cooled did not like",3.0,4.0,4.0,Very tasty,2.0,4.0,5.0,Tasted like berries ,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,It tastes good,True,False,False,False,False,,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,,
NA41kO,25-34 years old,1,At home,True,False,False,False,False,"Espresso, Pour over",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,5.0,5.0,Medium Body,3.0,3.0,3.0,Medium Body,4.0,2.0,1.0,Lightest body,1.0,4.0,3.0,,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
lN0LKk,18-24 years old,2,"On the go, At the office, At a cafe, At home",True,True,True,True,False,"Pour over, Cold brew, Coffee extract (e.g. Cometeer), French press",True,True,False,False,False,False,False,True,True,False,,"Other, Local cafe",False,True,False,False,False,True,"Online (Amazon, Cometeer, Sey, Stumptown, Oren's Coffee, etc.)",Americano,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Light,Half caff,7.0,1.0,4.0,5.0,,2.0,2.0,4.0,,2.0,2.0,4.0,,1.0,2.0,3.0,,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$4-$6,$4-$6,No,$300-$500,Yes,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,,Democrat
dYZ1Ly,25-34 years old,3,"At home, At the office",True,True,False,False,False,"Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",False,False,False,True,True,False,False,False,False,False,,,,,,,,,,Cortado,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bold,Very strong,Dark,Full caffeine,4.0,1.0,4.0,2.0,Citrus,3.0,1.0,1.0,Smoke. I would like it more than A+D if it were darker,2.0,1.0,1.0,Vegetable (Green Bean),1.0,3.0,3.0,Blueberry,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,No,$10-$15,$15-$20,No,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
RzByqd,25-34 years old,2,At home,True,False,False,False,False,"Pour over, French press, Other",True,True,False,False,False,False,False,False,False,True,aeropress,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,,4.0,2.0,2.0,,5.0,1.0,3.0,,1.0,3.0,5.0,,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$6-$8,More than $20,No,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
QAvzjk,18-24 years old,2,At home,True,False,False,False,False,"Pour over, Other",True,False,False,False,False,False,False,False,False,True,Aeropress,,,,,,,,,Cortado,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,"Oat milk, Whole milk",True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,Nutty,Somewhat strong,Medium,Full caffeine,4.0,2.0,3.0,5.0,"citrussy, sweet",4.0,2.0,3.0,"earthy, light texture",2.0,2.0,4.0,"muted, tropical, balanced",2.0,5.0,2.0,"fruity, fermented, strong",Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,More than $20,More than $20,No,$20-$50,Yes,Male,,Master's degree,Asian/Pacific Islander,,Student,,Democrat
1rGdqL,35-44 years old,2,At home,True,False,False,False,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Light,Full caffeine,6.0,3.0,5.0,5.0,Caramel,2.0,2.0,2.0,Chocolate,3.0,3.0,3.0,,4.0,3.0,4.0,,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",True,True,True,True,False,,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
