Submission ID,age,cups_per_day,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,flavor_preference,How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,expertise,Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?",overall_favorite,Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
5dqAKb,25-34 years old,1,"At home, At the office",True,True,False,False,False,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",True,False,False,False,True,False,False,False,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweet,Medium,Medium,Full caffeine,3.0,3.0,3.0,3.0,"I thought this one was some sort of sweet, but not a citrus acidic ""sweet"". I thought of cherries.",3.0,2.0,2.0,Seemed to get less bitter and significantly less what I thought was acidic as it cooled. I noted earthy taste.,3.0,4.0,2.0,"Originally I thought middle of the road acidity level, but I increased my rating as it cooled. I struggled to come up with any notes on this one.",2.0,5.0,5.0,"Had a bit of a sour feel on my tongue. Tasted smooth, flavorful and interesting. I think it was the most unique which caught my attention.",Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"I need the caffeine, It makes me go to the bathroom, It tastes good",True,True,False,True,False,,Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
jB98M9,25-34 years old,2,At home,True,False,False,False,False,Pour over,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweet,Medium,Nordic,Full caffeine,7.0,1.0,5.0,5.0,Lime,4.0,1.0,2.0,"Peanut, caramel",2.0,3.0,3.0,Brown sugar,1.0,4.0,4.0,Blueberry,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,It tastes good,True,False,False,False,False,,Yes,Yes,$15-$20,More than $20,No,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
GrYz2j,35-44 years old,2,"At home, At a cafe",True,False,False,True,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bright,Very strong,Light,Full caffeine,7.0,2.0,5.0,5.0,"Apple, stone fruit, winey",3.0,2.0,4.0,"Dark chocolate, smoky",4.0,2.0,3.0,"Rich, milk chocolate, black tea like",3.0,4.0,5.0,"Complex, blueberry, honey",Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,It tastes good,True,False,False,False,False,,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation
7d9krR,55-64 years old,1,At home,True,False,False,False,False,"Bean-to-cup machine, Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",True,False,False,False,True,False,True,False,False,False,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Almond milk,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,Caramalized,Medium,Light,Full caffeine,8.0,2.0,5.0,3.0,"Fruity, Asian Pear",4.0,2.0,3.0,"Chocolate, well balanced",4.0,1.0,4.0,"Lighter body, notes of purple plums, excellent balance ",1.0,4.0,3.0,"Bacon when hot, notes of pomegranate after it opens up",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
QAxe0G,25-34 years old,1,At home,True,False,False,False,False,"French press, Coffee brewing machine (e.g. Mr. Coffee)",False,True,False,True,False,False,False,False,False,False,,,,,,,,,,Latte,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Medium,Half caff,3.0,4.0,1.0,3.0,,4.0,3.0,4.0,,3.0,4.0,2.0,,2.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,It tastes good,True,False,False,False,False,,Yes,No,$6-$8,$6-$8,Yes,$500-$1000,Yes,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,No affiliation
pL4eYB,25-34 years old,1,"At the office, At home",True,True,False,False,False,Pour over,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Half and half,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Nutty,Medium,Medium,Decaf,3.0,2.0,4.0,1.0,"Light, fruity, cherry",2.0,3.0,3.0,Coffee-flavored. Dimmer than Equator.,1.0,2.0,5.0,Slight bitter aftertaste. Green apple.,4.0,5.0,1.0,Ghastly. Fermented fruit.,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,It tastes good,True,False,False,False,False,,Yes,No,$8-$10,$10-$15,Yes,$300-$500,Yes,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat
1r2oVQ,25-34 years old,2,At home,True,False,False,False,False,Pour over,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bright,Medium,Light,Full caffeine,9.0,2.0,4.0,4.0,"Caramel, juicy mouthfeel, fresh fruit",4.0,4.0,1.0,"Roast, bbq, char",3.0,2.0,3.0,"Black tea, tannins",2.0,3.0,5.0,"Berries, fruity dark chocolate, green vegetables, jammy fruit",Coffee A,Coffee D,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$15-$20,More than $20,Yes,$300-$500,Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
1rGdqL,35-44 years old,2,At home,True,False,False,False,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Light,Full caffeine,6.0,3.0,5.0,5.0,Caramel,2.0,2.0,2.0,Chocolate,3.0,3.0,3.0,,4.0,3.0,4.0,,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",True,True,True,True,False,,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
xdN57r,35-44 years old,1,"At home, At the office",True,True,False,False,False,"Espresso, Pour over, Bean-to-cup machine, French press",True,True,True,False,False,False,True,False,False,False,,,,,,,,,,Espresso,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,Half and half,False,False,True,False,False,False,False,False,False,"Raw Sugar (Turbinado), Granulated Sugar",True,False,False,False,False,False,False,True,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,7.0,1.0,4.0,2.0,,3.0,2.0,4.0,,3.0,2.0,3.0,,3.0,4.0,3.0,,Coffee B,Coffee D,Coffee B,I primarily work in person,<$20,It tastes good,True,False,False,False,False,,Yes,Yes,$6-$8,$4-$6,Yes,$100-$300,Yes,Male,,Some college or associate's degree,Black/African American,,Employed full-time,,Independent
OABNQk,25-34 years old,1,At home,True,False,False,False,False,"Pour over, Coffee extract (e.g. Cometeer)",True,False,False,False,False,False,False,False,True,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Medium,Light,Full caffeine,7.0,1.0,5.0,4.0,"Bright, light, fruity, red berries",4.0,3.0,2.0,"Dark, chocolate, dirt, unbalanced, light body, smoky",4.0,3.0,1.0,"Dark, burnt, bacon, semi-hollow",1.0,4.0,5.0,"Funky, round, full body, fruity, balanced",Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,It tastes good,True,False,False,False,False,,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,,Democrat
g5WjNP,25-34 years old,Less than 1,At home,True,False,False,False,False,"Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",False,False,False,True,True,False,False,False,False,False,,,,,,,,,,Cold brew,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",False,True,False,True,False,,"Oat milk, Almond milk",False,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Blonde,Half caff,6.0,2.0,4.0,1.0,,3.0,3.0,3.0,,4.0,2.0,2.0,,2.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,It tastes good,True,False,False,False,False,,Yes,No,$6-$8,$8-$10,No,$300-$500,Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
rl2Djp,35-44 years old,More than 4,"At home, On the go",True,False,True,False,False,"Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee), French press, Instant coffee, Cold brew",True,True,True,True,True,True,False,True,False,False,,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Drive-thru",True,True,True,True,False,False,,Cortado,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweet,Somewhat strong,Light,Full caffeine,8.0,2.0,5.0,2.0,"bright, hay, straw, fruity, light, clear, tea",3.0,2.0,4.0,"chocolate, stale, bland, balanced",3.0,3.0,4.0,"balanced, smooth, heavy, full bodied",1.0,4.0,1.0,"grass, bright, fruit, weak, adventurous",Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$6-$8,$8-$10,No,$300-$500,Yes,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Independent
